Name	Place	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District	Type	
CHC Ezhikkara 	Ezhikkara 	0484-2508258 	6	R 	mochcezhikkara@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Palarimangalam 	Palarimangalam 	0485-2564747 	24	R 	pallarimangalamphc@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Kumbalangi 	Kumbalangi 	0484-2240472 	22	R 	chckumbalanghy@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Varapuzha 	Varapuzha 	0484-2512520 	12	R 	chcvarapuzha@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Pandappilly 	Pandappilly 	0485-2255451 	24	R 	bphcpandappilly@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Chengamanad 	Chengamanad 	0484-2475344 	14	R 	chcchd@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Kadayiruppu 	Kadayiruppu 	0484-2761537 	50	R 	phckadayiruppu@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Vadavucode 	Vadavucode 	0484-2730251 	50	R 	vadavucodephc@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Ramamangalam 	Ramamangalam 	0485-2277922 	60	R 	phcramamangalam@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Kalady 	Kalady 	0484-2460163 	30	R 	chckalady@gmail.com 	Ernakulam 	Community Health Centre	CHC
CHC Poothotta 	Poothotta 	0484-2793019 	46	R 	gdpoothotta@yahoo.in 	Ernakulam 	Community Health Centre	CHC
CHC Mala 	Mala 	0480-2890281 	66	R 	govthosmala@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Kattoor 	Kattoor 	0480-2874890 	60	R 	kattoorgh@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Pazhayannur 	Pazhayannur 	04884-225430 	66	R 	pazhayannurchc@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Valappad 	Valappad 	0487-2392553 	55	R 	chcvalapad@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Thriprayar 	Thriprayar 	0487-2397555 	40	R 	chcthriprayar@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Anthikkad 	Anthikkad 	0487-2633799 	34	R 	ghanthikad@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Kadappuram 	Kadappuram 	0487-2530336 	30	R 	moicphckdpm@rediffmail.com,moicph ckdpm@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Vadakkekkad 	Vadakkekkad 	0487-2541167 	48	R 	chcvkd@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Anandapuram 	Anandapuram 	0480-2881759 	12	R 	anandapuramphc@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Pazhanji 	Pazhanji 	04885-274249 	30	R 	chcpazhanji123@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Perinjanam 	Perinjanam 	0480-2844484 	36	R 	chcperinjanam2008@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Elinjipara 	Elinjipara 	0480-2701045 	18	R 	phcelinjipra@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Vellanikkara 	Vellanikkara 	0487-2374088 	6	R 	phcvellanikkara@yahoo.in,chcvellanikk ara@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Tholur 	Tholur 	0487-2285746 	10	R 	bphctholur@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Ollur 	Ollur 	0487-2356052 	18	U 	primaryhealthcentreollur@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Cherpu 	Cherpu 	0487-2344713 	82	R 	chccherpu@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Erumapetty 	Erumapetty 	04885-262444 	10	R 	erumapettychc@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Alappad 	Alappad 	0487-2272107 	31	R 	chcalappad@yahoo.in,mchalapad@gm ail.com 	Thrissur 	Community Health Centre	CHC
CHC Vadanappally 	Vadanappally 	0487-2600760 	24	R 	chc vatanappilly@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Mullassery 	Mullassery 	0487-2261840 	36	R 	chc.mly@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Mattathur 	Mattathur 	0480-2740739 	34	R 	phcmattathur@yahoo.com,chcmattath ur@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Puthenchira 	Puthenchira 	0480-2891039 	28	R 	puthenchirachc@gmail.com 	Thrissur 	Community Health Centre	CHC
CHC Kozhinjampara 	Kozhinjampara 	04923-272229 	63	R 	ghkozhinjampara@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Shornur 	Shornur 	0466-2224262 	32	U 	ghshoranur@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Agali 	Agali 	04924-254221 	42	R 	chcagali@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Alanellur 	Alanellur 	04924-262244 	22	R 	phcalanallur@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Ambalappara 	Ambalappara 	04662-240265 	12	R 	chcambalappara@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Chalissery 	Chalissery 	0466-2256368 	22	R 	phcchalissery@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Thrithala 	Thrithala 	0466-2270506 	47	R 	phctrithala@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Katampazhipuram 	Katampazhipuram 	0466-2267276 	22	R 	chcktpm@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Cherpulasseri 	Cherpulasseri 	0466-2280990 	45	U 	chccherpulassery@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Koduvayur 	Koduvayur 	04923-252930 	33	R 	chckoduvayur@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Kongad 	Kongad 	0491-2846952 	18	R 	mophckongad@yahoo.com 	Palakkad	Community Health Centre	CHC
CHC Koppam 	Koppam 	04662-262909 	22	R 	chckoppam@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Kuzhalmannam 	Kuzhalmannam 	04922-274350 	34	R 	superintendentchckuzhalmannam@gm ail.com 	Palakkad	Community Health Centre	CHC
CHC Pazhambalakode 	Pazhambalakode 	04922-232322 	22	R 	bphcpazhamb@gmail.com, 	Palakkad	Community Health Centre	CHC
CHC Vadakkancherry 	Vadakkancherry 	04922-255005 	34	R 	chcvadakkencherry@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Nenmara 	Nenmara 	04923-242677 	93	R 	chcnenmara@gmail.com 	Palakkad	Community Health Centre	CHC
CHC Chungathara 	Chungathara 	04931-231550 	10	R 	mochcchungathara@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Edavanna 	Edavanna 	0483-2701029 	30	R 	mophcedavanna@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Mankada 	Mankada 	04933-239217 	26	R 	phcmankada@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Marancherry (Old) 	Marancherry (Old) 	0494-2676899 	16	R 	chcmaranchery@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Melattur 	Melattur 	04933-278289 	22	R 	melatturphc@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Neduva 	Neduva 	0494-2412709 	22	U 	mophcneduva@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Omannur 	Omannur 	0483-2728400 	18	R 	mophcomanur@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Edappal 	Edappal 	0494-2685188 	30	R 	mochcedapal@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Tanur 	Tanur 	0494-2443684 	42	U 	mophctanur@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Vengara 	Vengara 	0494-2457642 	16	R 	mochcvengara@rediffmail.com 	Malappuram	Community Health Centre	CHC
CHC Purathur 	Purathur 	0494-2567799 	66	R 	mochcpurathur@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Vettom 	Vettom 	0494-2631001 	16	R 	mophcvettom@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Karuvarakundu 	Karuvarakundu 	04931-282351 	24	R 	phckvk@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Kallikavu 	Kallikavu 	04931-258797 	28	R 	phckkv@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Urngattiri 	Urngattiri 	0483-2759888 	10	R 	phcurangattiri@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Peruvallur 	Peruvallur 	0494-2434700 	10	R 	mophcperuvalloor@gmail.com 	Malappuram	Community Health Centre	CHC
CHC Koduvally 	Koduvally 	0495-2214590 	30	U 	chckoduvally@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Koorachundu 	Koorachundu 	0496-2661939 	24	R 	phckoorachundu@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Ulliyeri 	Ulliyeri 	0496-2654226 	16	R 	mochculliyeri@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Orkatteri 	Orkatteri 	0496-2547182 	12	R 	chcorkkattery123@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Kunnmmal 	Kunnmmal 	0496-2448299 	24	R 	phckunnummal@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Mukkam 	Mukkam 	0495-2297260 	18	U 	chcmukkam2@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Cheruvady 	Cheruvady 	0495-2208150 	0	R 	cheruvadichc@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Narikkuni 	Narikkuni 	0495-2246200 	30	R 	chcnarikkuni@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Thalakkulathoor 	Thalakkulathoor 	0495-2853005 	18	R 	chcthalakulathur@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Thiruvalloor 	Thiruvalloor 	0496-2592340 	24	R 	chcthiruvallur@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Meladi 	Meladi 	0496-2602170 	35	R 	mochcmelady@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Thiruvangoor 	Thiruvangoor 	0496-2634260 	12	R 	phcthiruvangoor@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Valayam 	Valayam 	0496-2460370 	16	R 	chcvalayam@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Olavanna 	Olavanna 	0495-2430074 	18	R 	chcolavanna@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Cheruvannoor 	Cheruvannoor 	0495-2487090 	0	U 	phccheruvannur@gmail.com 	Kozhikode 	Community Health Centre	CHC
CHC Porunnanure 	Porunnanure 	04935-240864 	40	R 	bphc.porunnannore@gmail.com 	Wayanad	Community Health Centre	CHC
CHC Panamaram 	Panamaram 	04935-221189 	42	R 	phc.panamaram@gmail.com 	Wayanad	Community Health Centre	CHC
CHC Peria 	Peria 	04935-260121 	20	R 	rmmchcperiya@gmail.com 	Wayanad	Community Health Centre	CHC
CHC Meenangady 	Meenangady 	04936-247290 	16	R 	chc.meenangady@gmail.com 	Wayanad	Community Health Centre	CHC
CHC Thariyode 	Thariyode 	04936-276762 	40	R 	medical officerchcthariode@gmail.com 	Wayanad	Community Health Centre	CHC
CHC Pulpally 	Pulpally 	04936-240406 	26	R 	chc.pulpally@gmail.com 	Wayanad	Community Health Centre	CHC
CHC Nallurnadu 	Nallurnadu 	04935-273148 	25	R 	chc.nalloornadu@gmail.com 	Wayanad	Community Health Centre	CHC
CHC Karivalloor 	Karivalloor 	0498-5260506 	52	R 	ghkarivellur@gmail.com 	Kannur	Community Health Centre	CHC
CHC Mayyil 	Mayyil 	0460-2275220 	34	R 	mochcmayyil@gmail.com 	Kannur	Community Health Centre	CHC
CHC Oduvallithattu 	Oduvallithattu 	0460-2271100 	30	R 	oduvallythattuphc@gmail.com 	Kannur	Community Health Centre	CHC
CHC Iriveri 	Iriveri 	0497-2851602 	30	R 	chcirivery@yahoo.in 	Kannur	Community Health Centre	CHC
CHC Pappinissery 	Pappinissery 	0497-2786270 	36	R 	phcpappin@gmail.com 	Kannur	Community Health Centre	CHC
CHC Pinarayi 	Pinarayi 	0490-2382710 	30	R 	chcpinarayi@gmail.com 	Kannur	Community Health Centre	CHC
CHC Azhicode 	Azhicode 	04972-776485 	31	R 	bphcazhikode@gmail.com 	Kannur	Community Health Centre	CHC
CHC Kootumugham 	Kootumugham 	0460-2266001 	24	U 	kootumughamphc@gmail.com 	Kannur	Community Health Centre	CHC
CHC Manjeswar 	Manjeswar 	04998-273599 	32	R 	chcmanjeswar@gmail.com 	Kasaragod 	Community Health Centre	CHC
CHC Cheruvathur 	Cheruvathur 	0467-2261270 	24	R 	phcchervathur@gmail.com 	Kasaragod 	Community Health Centre	CHC
CHC Periye 	Periye 	0467-2234141 	12	R 	chcperiye@gmail.com 	Kasaragod 	Community Health Centre	CHC
CHC Badiadka 	Badiadka 	04998-285716 	30	R 	chcbadiadka@gmail.com 	Kasaragod 	Community Health Centre	CHC
CHC Muliyar 	Muliyar 	04994-250101 	12	R 	chcmuliyar15@gmail.com 	Kasaragod 	Community Health Centre	CHC
CHC Kumbla 	Kumbla 	04998-214150 	30	R 	chckumbla@gmail.com 	Kasaragod 	Community Health Centre	CHC
PHC Paripally 	Paripally 	0474-2575112 	24	R 	phcparippally@gmail.com 	Kollam 	24x7 Primary Health Centre	PHC
PHC Kottanadu 	Kottanadu 	0469-2775925 	24	R 	phckottanadu@gmail.com 	Pathanamthitta 	24x7 Primary Health Centre	PHC
PHC Mundankunnu 	Mundankunnu 	0481-2551201 	20	R 	phcmundankunnu@gmail.com 	Kottayam 	24x7 Primary Health Centre	PHC
PHC Kanthalloor 	Kanthalloor 	04865-246487 	0	R 	kanthalloorphc@gmail.com 	Idukki	24x7 Primary Health Centre	PHC
PHC Santhanpara 	Santhanpara 	04868-247747 	0	R 	mophcsenapathy@gmail.com 	Idukki	24x7 Primary Health Centre	PHC
PHC Vannappuram 	Vannappuram 	04862-247787 	10	R 	phcvpm@gmail.com 	Idukki	24x7 Primary Health Centre	PHC
PHC Kalloorkadu 	Kalloorkadu 	0485-2289649 	30	R 	phckalloorkad@gmail.com 	Ernakulam 	24x7 Primary Health Centre	PHC
PHC Pizhala 	Pizhala 	0484-2430894 	24	R 	phcpizhala@gmail.com 	Ernakulam 	24x7 Primary Health Centre	PHC
PHC Elenji 	Elenji 	0485-2259080 	40	R	mophcelanji@gmail.com	Ernakulam 	24x7 Primary Health Centre	PHC
PHC Arimbur 	Arimbur 	0487-2313634 	24	R 	phcarimbur@gmail.com 	Thrissur 	24x7 Primary Health Centre	PHC
PHC Varavoor 	Varavoor 	04884-280708 	24	R 	phcvaravoor@gmail.com 	Thrissur 	24x7 Primary Health Centre	PHC
PHC Aliparamba 	Aliparamba 	04933-234350 	10	R 	alipparambaphc@gmail.com 	Malappuram	24x7 Primary Health Centre	PHC
PHC Anakkayam 	Anakkayam 	0483-2781393 	24	R 	mophcanakkayam@gmail.com 	Malappuram	24x7 Primary Health Centre	PHC
PHC Valanchery 	Valanchery 	0494-2646374 	16	U 	mophcvalanchery@gmail.com 	Malappuram	24x7 Primary Health Centre	PHC
PHC Pallikkal 	Pallikkal 	0494-2401661 	10	R 	mopallikal@yahoo.com 	Malappuram	24x7 Primary Health Centre	PHC
PHC Mullankolly 	Mullankolly 	04936-234799 	10	R 	phc.mullankolly@gmail.com 	Wayanad	24x7 Primary Health Centre	PHC
PHC Keezpally 	Keezpally 	0490-2454431 	24	R 	phckply@gmail.com 	Kannur	24x7 Primary Health Centre	PHC
PHC Naduvil 	Naduvil 	0460-2250901 	10	R 	phcnaduvil@gmail.com 	Kannur	24x7 Primary Health Centre	PHC
PHC Vellarikundu 	Vellarikundu 	0467-2242228 	24	R 	mophcv@gmail.com 	Kasaragod 	24x7 Primary Health Centre	PHC
PHC Palace Dispensary	Palace Dispensary, Kowdiar 	0471-2433758 	0	U 		Thiruvananthapuram 	Primary Health Centre	PHC
PHC Karamana 	Karamana 	0471-2344935 	0	U 	phckaramana@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Ulloor 	Ulloor 	Nil 	0	U 	ulloorphc@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Bharathannur 	Bharathannur 	0472-2868629 	0	R 	phcbharathannoor@ymail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Kizhuvilam 	Kizhuvilam 	0470-2794688 	0	R 	kizhuvillamphc@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Perumpazhuthoor 	Perumpazhuthoor 	0471-2222183 	10	U 	phcperumpazhuthoor@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Kanjiramkulam 	Kanjiramkulam 	0471-2263505 	0	R 	kanjiramkulamphc10@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Navaikulam 	Navaikulam 	0470-2694300 	0	R 	phcnavaikulam@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Kalliyoor 	Kalliyoor 	0471-2405401 	20	R 	phckalliyoor@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Vellayani 	Vellayani 	0471-2382209 	20	R 	phcvellayani@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Azhoor 	Azhoor 	0470-2144366 	0	R 	moicphcazhoor@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Parasuvaikkal 	Parasuvaikkal 	0471-2200071 	0	R 	phcparasuvaikkall@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Nagaroor 	Nagaroor 	0470-2678656 	0	R 	phcnagaroor@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Malayadi 	Malayadi 	0472-2891800 	0	R 	phcmalayadi1@gmail.com 	Thiruvananthapuram 	Primary Health Centre	PHC
PHC Thalavur 	Thalavur 	0475-2328424 	0	R 	thalavoorphcmo@yahoo.com 	Kollam 	Primary Health Centre	PHC
PHC Pattazhy Vadakkekara 	Pattazhy Vadakkekara 	0475-2355441 	0	R 	phcpattazhivadakkekara@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Pattazhy 	Pattazhy 	0475-2397799 	6	R 	phcpattazhi@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Adichnaloor 	Adichnaloor 	0474-2596800 	0	R 	phcadichanalloor@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Achencovil 	Achencovil 	Nil 	0	R 	phcachenkovil@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Yeroor 	Yeroor 	0475-2202166 	0	R 	yeroorphc@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Poruvazhy 	Poruvazhy 	0476-2082486 	0	R 	phcporuvazhy@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Mylam 	Mylam 	0474-2663232 	0	R 	phcmylom@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Kottanmkara 	Kottanmkara 	0474-2710545 	0	R 	kottamkaranew@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Chirakkara 	Chirakkara 	0474-2518686 	0	R 	phcchirakkara@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Chavara 	Chavara 	0476-2686882 	0	R 	phcchavara@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Kumil 	Kumil 	0474-2448880 	0	R 	phckummil@gmail.com 	Kollam 	Primary Health Centre	PHC
PHC Thottappuzhassery 	Thottappuzhassery 	0469-2671950 	0	R 	thottapuzhasseryphc@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Vallicodu 	Vallicodu 	0468-2356338 	24	R 	phcvallikode@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Malayalapuzha 	Malayalapuzha 	0468-2301100 	0	R 	phcmalayalapuzha@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Pramadam 	Pramadam 	0468-2306524 	0	R 	phcpramadom@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Pandalam Thekkekara 	Pandalam Thekkekara 	04734-223617 	0	R 	phcpandalamthekku@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Mallapuzhassery 	Mallapuzhassery 	0468-2214598 	0	R 	phcmalla@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Manjanikara 	Manjanikara 	0468-2356375 	0	R 	manjanikkaraphc@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Kadapra 	Kadapra 	0479-2316400 	0	R 	phckadapra@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Nedumpuram 	Nedumpuram 	0469-2642640 	0	R 	phcnedumpuram@yahoo.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Kuttapuzha 	Kuttapuzha 	0469-2633047 	0	U 	phckuttapuzha@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Ranni Angadi 	Ranni Angadi 	04735-200750 	0	R 	phcangady@yahoo.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Angamoozhi 	Angamoozhi 	04735-279277 	0	R 	angamoozhyphc@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Nilakkal 	Nilakkal 	04735-205202 	0	R 	nilakkalphc@gmail.com 	Pathanamthitta 	Primary Health Centre	PHC
PHC Mannancherry 	Mannancherry 	0477-2292008 	0	R 	phcmannancherry@yahoo.com 	Alappuzha 	Primary Health Centre	PHC
PHC Kodamthuruth 	Kodamthuruth 	0478-2565944 	0	R 	mokodamthuruthphc@gmail.com 	Alappuzha 	Primary Health Centre	PHC
PHC Cheppad 	Cheppad 	0479-2400911 	0	R 	arogyakendramcheppad@gmail.com 	Alappuzha 	Primary Health Centre	PHC
PHC Muttar 	Muttar 	0477-2707732 	0	R 	muttarphc@gmail.com 	Alappuzha 	Primary Health Centre	PHC
PHC Budhanoor 	Budhanoor 	0479-2323841 	0	R 	phcbudhanor@gmail.com 	Alappuzha 	Primary Health Centre	PHC
PHC Kumarapuram 	Kumarapuram 	0479-2415215 	0	R 	kumaraphc@gmail.com 	Alappuzha 	Primary Health Centre	PHC
PHC Haripad 	Haripad 	0479-2404641 	24	R 	moharipadphc@gmail.com 	Alappuzha 	Primary Health Centre	PHC
PHC Pallipad 	Pallipad 	0479-2409096 	0	R 	mophcpallipad@gmail.com 	Alappuzha 	Primary Health Centre	PHC
PHC Karoor 	Karoor 	04822-262893 	0	R 	phckaroor@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Kozhuvanal 	Kozhuvanal 	04822-269367 	0	R 	phckozhuvanal@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC TV Puram 	TV Puram 	04829-211789 	0	R 	mophctvpuram@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Nedumkunnam 	Nedumkunnam 	0481-2417534 	0	R 	phcndm@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC G .V. Raja Poonjar 	G .V. Raja Poonjar 	04822-273638 	0	R 	gvrpoonjar@live.in 	Kottayam 	Primary Health Centre	PHC
PHC Thalanadu 	Thalanadu 	04822-280598 	0	R 	phcthalanadu@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Thidanadu 	Thidanadu 	04828-236888 	0	R 	mophcthidanadu@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Thalappalam 	Thalappalam 	04822-239345 	0	R 	phcthalappalam@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Teekoy 	Teekoy 	04822-281502 	0	R 	mophcteekoy@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Kalaketty 	Kalaketty 	04828-236616 	0	R 	phckalaketti@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Karikkattoor 	Karikkattoor 	04828-246560 	0	R 	phckarikkattoor@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Parathanam 	Parathanam 	04828-287020 	0	R 	mophcparathanam@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Peruva 	Peruva 	04829-253030 	0	R 	phcperuva@rediffmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Kaduthuruthy 	Kaduthuruthy 	04829-288393 	0	R 	phckaduthuruthy@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Vazhappally 	Vazhappally 	0481-2726531 	0	R 	mophcvazhapally@yahoo.in 	Kottayam 	Primary Health Centre	PHC
PHC Manarcadu 	Manarcadu 	0481-2371288 	0	R 	phcmanarcadu@gmail.com 	Kottayam 	Primary Health Centre	PHC
PHC Kallarvattayar 	Kallarvattayar 	04864-278718 	0	R 	phckallar@gmail.com 	Idukki	Primary Health Centre	PHC
PHC Mankulam 	Mankulam 	04864-218906 	0	R 	mankulamphc@yahoo.in 	Idukki	Primary Health Centre	PHC
PHC KP Colony 	KP Colony 	04868-221504 	26	R 	phckallar@gmail.com 	Idukki	Primary Health Centre	PHC
PHC Manakkadu 	Manakkadu 	04862-202009 	0	R 	phcmanakad@gmail.com 	Idukki	Primary Health Centre	PHC
PHC Chakkupallam 	Chakkupallam 	04868-284670 	0	R 	phcchakkupallam@gmail.com 	Idukki	Primary Health Centre	PHC
PHC Edavetty 	Edavetty 	04862-221076 	0	R 	phcedavetty@gmail.com 	Idukki	Primary Health Centre	PHC
PHC Poomala 	Poomala 	04862-282500 	0	R 	phcpoomala@gmail.com 	Idukki	Primary Health Centre	PHC
PHC Poochapra 	Poochapra 	04862-283028 	0	R 	phcpoochapra@gmail.com 	Idukki	Primary Health Centre	PHC
PHC Palace Disp.Thrippunithura 	Palace Disp.Thrippunithura 	0484-2784845 	0	U 	rvpdmekkara@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Vallarpadam 	Vallarpadam 	0484-2751025 	0	R 	phcvallarpadam@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Puthuvype 	Puthuvype 	0484-2502838 	0	R 	phcputhuvyppu@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Trikkakkara 	Trikkakkara 	0484-2421417 	0	U 	phcthrikkakara@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Kalamassery 	Kalamassery 	0484 2966695 	0	U 	kalamasseryphc@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Chottanikkara 	Chottanikkara 	0484-2711389 	0	R 	phcchottanikkara@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Thottoor 	Thottoor 	0484-2748190 	0	R 	phcthottoor@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Valanthakkadu 	Valanthakkadu 	9447871977	0	U 	phcvalanthakad@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Assamanoor 	Assamanoor 	0484-2659451 	0	R 	phcasamannoor@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Pallissery 	Pallissery 	0484-2439272 	0	R 	phcpalissery@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Mookkannoor 	Mookkannoor 	0484-2614420 	0	R 	phcmookanur@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Ayavana 	Ayavana 	0485-2282044 	0	R 	phcayavana@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Marady 	Marady 	0485-2963805 	0	R 	phcmarady@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Kunnukara 	Kunnukara 	0484-2573087 	0	R 	phckunnukara@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Nedumbassery 	Nedumbassery 	0484-2476678 	0	R 	phcnedumbassery@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Pattimattom 	Pattimattom 	0484-2716010 	0	R 	phcpattimattom@gmail.com 	Ernakulam 	Primary Health Centre	PHC
