Name	Place	Type	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District
CHC Mala 	Mala 	Community Health Centre	0480-2890281 	66	R 	govthosmala@gmail.com 	Thrissur 
CHC Kattoor 	Kattoor 	Community Health Centre	0480-2874890 	60	R 	kattoorgh@gmail.com 	Thrissur 
CHC Pazhayannur 	Pazhayannur 	Community Health Centre	04884-225430 	66	R 	pazhayannurchc@gmail.com 	Thrissur 
CHC Valappad 	Valappad 	Community Health Centre	0487-2392553 	55	R 	chcvalapad@gmail.com 	Thrissur 
CHC Thriprayar 	Thriprayar 	Community Health Centre	0487-2397555 	40	R 	chcthriprayar@gmail.com 	Thrissur 
CHC Anthikkad 	Anthikkad 	Community Health Centre	0487-2633799 	34	R 	ghanthikad@gmail.com 	Thrissur 
CHC Kadappuram 	Kadappuram 	Community Health Centre	0487-2530336 	30	R 	moicphckdpm@rediffmail.com,moicph ckdpm@gmail.com 	Thrissur 
CHC Vadakkekkad 	Vadakkekkad 	Community Health Centre	0487-2541167 	48	R 	chcvkd@gmail.com 	Thrissur 
CHC Anandapuram 	Anandapuram 	Community Health Centre	0480-2881759 	12	R 	anandapuramphc@gmail.com 	Thrissur 
CHC Pazhanji 	Pazhanji 	Community Health Centre	04885-274249 	30	R 	chcpazhanji123@gmail.com 	Thrissur 
CHC Perinjanam 	Perinjanam 	Community Health Centre	0480-2844484 	36	R 	chcperinjanam2008@gmail.com 	Thrissur 
CHC Elinjipara 	Elinjipara 	Community Health Centre	0480-2701045 	18	R 	phcelinjipra@gmail.com 	Thrissur 
CHC Vellanikkara 	Vellanikkara 	Community Health Centre	0487-2374088 	6	R 	phcvellanikkara@yahoo.in,chcvellanikk ara@gmail.com 	Thrissur 
CHC Tholur 	Tholur 	Community Health Centre	0487-2285746 	10	R 	bphctholur@gmail.com 	Thrissur 
CHC Ollur 	Ollur 	Community Health Centre	0487-2356052 	18	U 	primaryhealthcentreollur@gmail.com 	Thrissur 
CHC Cherpu 	Cherpu 	Community Health Centre	0487-2344713 	82	R 	chccherpu@gmail.com 	Thrissur 
CHC Erumapetty 	Erumapetty 	Community Health Centre	04885-262444 	10	R 	erumapettychc@gmail.com 	Thrissur 
CHC Alappad 	Alappad 	Community Health Centre	0487-2272107 	31	R 	chcalappad@yahoo.in,mchalapad@gm ail.com 	Thrissur 
CHC Vadanappally 	Vadanappally 	Community Health Centre	0487-2600760 	24	R 	chc vatanappilly@gmail.com 	Thrissur 
CHC Mullassery 	Mullassery 	Community Health Centre	0487-2261840 	36	R 	chc.mly@gmail.com 	Thrissur 
CHC Mattathur 	Mattathur 	Community Health Centre	0480-2740739 	34	R 	phcmattathur@yahoo.com,chcmattath ur@gmail.com 	Thrissur 
CHC Puthenchira 	Puthenchira 	Community Health Centre	0480-2891039 	28	R 	puthenchirachc@gmail.com 	Thrissur 
CHC Kozhinjampara 	Kozhinjampara 	Community Health Centre	04923-272229 	63	R 	ghkozhinjampara@gmail.com 	Palakkad
CHC Shornur 	Shornur 	Community Health Centre	0466-2224262 	32	U 	ghshoranur@gmail.com 	Palakkad
CHC Agali 	Agali 	Community Health Centre	04924-254221 	42	R 	chcagali@gmail.com 	Palakkad
CHC Alanellur 	Alanellur 	Community Health Centre	04924-262244 	22	R 	phcalanallur@gmail.com 	Palakkad
CHC Ambalappara 	Ambalappara 	Community Health Centre	04662-240265 	12	R 	chcambalappara@gmail.com 	Palakkad
CHC Chalissery 	Chalissery 	Community Health Centre	0466-2256368 	22	R 	phcchalissery@gmail.com 	Palakkad
CHC Thrithala 	Thrithala 	Community Health Centre	0466-2270506 	47	R 	phctrithala@gmail.com 	Palakkad
CHC Katampazhipuram 	Katampazhipuram 	Community Health Centre	0466-2267276 	22	R 	chcktpm@gmail.com 	Palakkad
CHC Cherpulasseri 	Cherpulasseri 	Community Health Centre	0466-2280990 	45	U 	chccherpulassery@gmail.com 	Palakkad
CHC Koduvayur 	Koduvayur 	Community Health Centre	04923-252930 	33	R 	chckoduvayur@gmail.com 	Palakkad
CHC Kongad 	Kongad 	Community Health Centre	0491-2846952 	18	R 	mophckongad@yahoo.com 	Palakkad
CHC Koppam 	Koppam 	Community Health Centre	04662-262909 	22	R 	chckoppam@gmail.com 	Palakkad
CHC Kuzhalmannam 	Kuzhalmannam 	Community Health Centre	04922-274350 	34	R 	superintendentchckuzhalmannam@gm ail.com 	Palakkad
CHC Pazhambalakode 	Pazhambalakode 	Community Health Centre	04922-232322 	22	R 	bphcpazhamb@gmail.com, 	Palakkad
CHC Vadakkancherry 	Vadakkancherry 	Community Health Centre	04922-255005 	34	R 	chcvadakkencherry@gmail.com 	Palakkad
CHC Nenmara 	Nenmara 	Community Health Centre	04923-242677 	93	R 	chcnenmara@gmail.com 	Palakkad
CHC Chungathara 	Chungathara 	Community Health Centre	04931-231550 	10	R 	mochcchungathara@gmail.com 	Malappuram
CHC Edavanna 	Edavanna 	Community Health Centre	0483-2701029 	30	R 	mophcedavanna@gmail.com 	Malappuram
CHC Mankada 	Mankada 	Community Health Centre	04933-239217 	26	R 	phcmankada@gmail.com 	Malappuram
CHC Marancherry (Old) 	Marancherry (Old) 	Community Health Centre	0494-2676899 	16	R 	chcmaranchery@gmail.com 	Malappuram
CHC Melattur 	Melattur 	Community Health Centre	04933-278289 	22	R 	melatturphc@gmail.com 	Malappuram
CHC Neduva 	Neduva 	Community Health Centre	0494-2412709 	22	U 	mophcneduva@gmail.com 	Malappuram
CHC Omannur 	Omannur 	Community Health Centre	0483-2728400 	18	R 	mophcomanur@gmail.com 	Malappuram
CHC Edappal 	Edappal 	Community Health Centre	0494-2685188 	30	R 	mochcedapal@gmail.com 	Malappuram
CHC Tanur 	Tanur 	Community Health Centre	0494-2443684 	42	U 	mophctanur@gmail.com 	Malappuram
CHC Vengara 	Vengara 	Community Health Centre	0494-2457642 	16	R 	mochcvengara@rediffmail.com 	Malappuram
CHC Purathur 	Purathur 	Community Health Centre	0494-2567799 	66	R 	mochcpurathur@gmail.com 	Malappuram
CHC Vettom 	Vettom 	Community Health Centre	0494-2631001 	16	R 	mophcvettom@gmail.com 	Malappuram
CHC Karuvarakundu 	Karuvarakundu 	Community Health Centre	04931-282351 	24	R 	phckvk@gmail.com 	Malappuram
CHC Kallikavu 	Kallikavu 	Community Health Centre	04931-258797 	28	R 	phckkv@gmail.com 	Malappuram
CHC Urngattiri 	Urngattiri 	Community Health Centre	0483-2759888 	10	R 	phcurangattiri@gmail.com 	Malappuram
CHC Peruvallur 	Peruvallur 	Community Health Centre	0494-2434700 	10	R 	mophcperuvalloor@gmail.com 	Malappuram
CHC Koduvally 	Koduvally 	Community Health Centre	0495-2214590 	30	U 	chckoduvally@gmail.com 	Kozhikode 
CHC Koorachundu 	Koorachundu 	Community Health Centre	0496-2661939 	24	R 	phckoorachundu@gmail.com 	Kozhikode 
CHC Ulliyeri 	Ulliyeri 	Community Health Centre	0496-2654226 	16	R 	mochculliyeri@gmail.com 	Kozhikode 
CHC Orkatteri 	Orkatteri 	Community Health Centre	0496-2547182 	12	R 	chcorkkattery123@gmail.com 	Kozhikode 
CHC Kunnmmal 	Kunnmmal 	Community Health Centre	0496-2448299 	24	R 	phckunnummal@gmail.com 	Kozhikode 
CHC Mukkam 	Mukkam 	Community Health Centre	0495-2297260 	18	U 	chcmukkam2@gmail.com 	Kozhikode 
CHC Cheruvady 	Cheruvady 	Community Health Centre	0495-2208150 	0	R 	cheruvadichc@gmail.com 	Kozhikode 
CHC Narikkuni 	Narikkuni 	Community Health Centre	0495-2246200 	30	R 	chcnarikkuni@gmail.com 	Kozhikode 
CHC Thalakkulathoor 	Thalakkulathoor 	Community Health Centre	0495-2853005 	18	R 	chcthalakulathur@gmail.com 	Kozhikode 
CHC Thiruvalloor 	Thiruvalloor 	Community Health Centre	0496-2592340 	24	R 	chcthiruvallur@gmail.com 	Kozhikode 
CHC Meladi 	Meladi 	Community Health Centre	0496-2602170 	35	R 	mochcmelady@gmail.com 	Kozhikode 
CHC Thiruvangoor 	Thiruvangoor 	Community Health Centre	0496-2634260 	12	R 	phcthiruvangoor@gmail.com 	Kozhikode 
CHC Valayam 	Valayam 	Community Health Centre	0496-2460370 	16	R 	chcvalayam@gmail.com 	Kozhikode 
CHC Olavanna 	Olavanna 	Community Health Centre	0495-2430074 	18	R 	chcolavanna@gmail.com 	Kozhikode 
CHC Cheruvannoor 	Cheruvannoor 	Community Health Centre	0495-2487090 	0	U 	phccheruvannur@gmail.com 	Kozhikode 
CHC Porunnanure 	Porunnanure 	Community Health Centre	04935-240864 	40	R 	bphc.porunnannore@gmail.com 	Wayanad
CHC Panamaram 	Panamaram 	Community Health Centre	04935-221189 	42	R 	phc.panamaram@gmail.com 	Wayanad
CHC Peria 	Peria 	Community Health Centre	04935-260121 	20	R 	rmmchcperiya@gmail.com 	Wayanad
CHC Meenangady 	Meenangady 	Community Health Centre	04936-247290 	16	R 	chc.meenangady@gmail.com 	Wayanad
CHC Thariyode 	Thariyode 	Community Health Centre	04936-276762 	40	R 	medical officerchcthariode@gmail.com 	Wayanad
CHC Pulpally 	Pulpally 	Community Health Centre	04936-240406 	26	R 	chc.pulpally@gmail.com 	Wayanad
CHC Nallurnadu 	Nallurnadu 	Community Health Centre	04935-273148 	25	R 	chc.nalloornadu@gmail.com 	Wayanad
CHC Karivalloor 	Karivalloor 	Community Health Centre	0498-5260506 	52	R 	ghkarivellur@gmail.com 	Kannur
CHC Mayyil 	Mayyil 	Community Health Centre	0460-2275220 	34	R 	mochcmayyil@gmail.com 	Kannur
CHC Oduvallithattu 	Oduvallithattu 	Community Health Centre	0460-2271100 	30	R 	oduvallythattuphc@gmail.com 	Kannur
CHC Iriveri 	Iriveri 	Community Health Centre	0497-2851602 	30	R 	chcirivery@yahoo.in 	Kannur
CHC Pappinissery 	Pappinissery 	Community Health Centre	0497-2786270 	36	R 	phcpappin@gmail.com 	Kannur
CHC Pinarayi 	Pinarayi 	Community Health Centre	0490-2382710 	30	R 	chcpinarayi@gmail.com 	Kannur
CHC Azhicode 	Azhicode 	Community Health Centre	04972-776485 	31	R 	bphcazhikode@gmail.com 	Kannur
CHC Kootumugham 	Kootumugham 	Community Health Centre	0460-2266001 	24	U 	kootumughamphc@gmail.com 	Kannur
CHC Manjeswar 	Manjeswar 	Community Health Centre	04998-273599 	32	R 	chcmanjeswar@gmail.com 	Kasaragod 
CHC Cheruvathur 	Cheruvathur 	Community Health Centre	0467-2261270 	24	R 	phcchervathur@gmail.com 	Kasaragod 
CHC Periye 	Periye 	Community Health Centre	0467-2234141 	12	R 	chcperiye@gmail.com 	Kasaragod 
CHC Badiadka 	Badiadka 	Community Health Centre	04998-285716 	30	R 	chcbadiadka@gmail.com 	Kasaragod 
CHC Muliyar 	Muliyar 	Community Health Centre	04994-250101 	12	R 	chcmuliyar15@gmail.com 	Kasaragod 
CHC Kumbla 	Kumbla 	Community Health Centre	04998-214150 	30	R 	chckumbla@gmail.com 	Kasaragod 
PHC Paripally 	Paripally 	24x7 Primary Health Centre	0474-2575112 	24	R 	phcparippally@gmail.com 	Kollam 
PHC Kottanadu 	Kottanadu 	24x7 Primary Health Centre	0469-2775925 	24	R 	phckottanadu@gmail.com 	Pathanamthitta 
PHC Mundankunnu 	Mundankunnu 	24x7 Primary Health Centre	0481-2551201 	20	R 	phcmundankunnu@gmail.com 	Kottayam 
PHC Kanthalloor 	Kanthalloor 	24x7 Primary Health Centre	04865-246487 	0	R 	kanthalloorphc@gmail.com 	Idukki
PHC Santhanpara 	Santhanpara 	24x7 Primary Health Centre	04868-247747 	0	R 	mophcsenapathy@gmail.com 	Idukki
PHC Vannappuram 	Vannappuram 	24x7 Primary Health Centre	04862-247787 	10	R 	phcvpm@gmail.com 	Idukki
PHC Kalloorkadu 	Kalloorkadu 	24x7 Primary Health Centre	0485-2289649 	30	R 	phckalloorkad@gmail.com 	Ernakulam 
PHC Pizhala 	Pizhala 	24x7 Primary Health Centre	0484-2430894 	24	R 	phcpizhala@gmail.com 	Ernakulam 
PHC Elenji 	Elenji 	24x7 Primary Health Centre	0485-2259080 Rural- 94 	40 U	R rban-	mophcelanji@gmail.com Nil 	Ernakulam 
PHC Arimbur 	Arimbur 	24x7 Primary Health Centre	0487-2313634 	24	R 	phcarimbur@gmail.com 	Thrissur 
PHC Varavoor 	Varavoor 	24x7 Primary Health Centre	04884-280708 	24	R 	phcvaravoor@gmail.com 	Thrissur 
PHC Aliparamba 	Aliparamba 	24x7 Primary Health Centre	04933-234350 	10	R 	alipparambaphc@gmail.com 	Malappuram
PHC Anakkayam 	Anakkayam 	24x7 Primary Health Centre	0483-2781393 	24	R 	mophcanakkayam@gmail.com 	Malappuram
PHC Valanchery 	Valanchery 	24x7 Primary Health Centre	0494-2646374 	16	U 	mophcvalanchery@gmail.com 	Malappuram
PHC Pallikkal 	Pallikkal 	24x7 Primary Health Centre	0494-2401661 	10	R 	mopallikal@yahoo.com 	Malappuram
PHC Mullankolly 	Mullankolly 	24x7 Primary Health Centre	04936-234799 	10	R 	phc.mullankolly@gmail.com 	Wayanad
PHC Keezpally 	Keezpally 	24x7 Primary Health Centre	0490-2454431 	24	R 	phckply@gmail.com 	Kannur
PHC Naduvil 	Naduvil 	24x7 Primary Health Centre	0460-2250901 	10	R 	phcnaduvil@gmail.com 	Kannur
PHC Vellarikundu 	Vellarikundu 	24x7 Primary Health Centre	0467-2242228 	24	R 	mophcv@gmail.com 	Kasaragod 
PHC Palace Dispensary	Palace Dispensary, Kowdiar 	Primary Health Centre	0471-2433758 	0	U 		Thiruvananthapuram 
PHC Karamana 	Karamana 	Primary Health Centre	0471-2344935 	0	U 	phckaramana@gmail.com 	Thiruvananthapuram 
PHC Ulloor 	Ulloor 	Primary Health Centre	Nil 	0	U 	ulloorphc@gmail.com 	Thiruvananthapuram 
PHC Bharathannur 	Bharathannur 	Primary Health Centre	0472-2868629 	0	R 	phcbharathannoor@ymail.com 	Thiruvananthapuram 
PHC Kizhuvilam 	Kizhuvilam 	Primary Health Centre	0470-2794688 	0	R 	kizhuvillamphc@gmail.com 	Thiruvananthapuram 
PHC Perumpazhuthoor 	Perumpazhuthoor 	Primary Health Centre	0471-2222183 	10	U 	phcperumpazhuthoor@gmail.com 	Thiruvananthapuram 
PHC Kanjiramkulam 	Kanjiramkulam 	Primary Health Centre	0471-2263505 	0	R 	kanjiramkulamphc10@gmail.com 	Thiruvananthapuram 
PHC Navaikulam 	Navaikulam 	Primary Health Centre	0470-2694300 	0	R 	phcnavaikulam@gmail.com 	Thiruvananthapuram 
PHC Kalliyoor 	Kalliyoor 	Primary Health Centre	0471-2405401 	20	R 	phckalliyoor@gmail.com 	Thiruvananthapuram 
PHC Vellayani 	Vellayani 	Primary Health Centre	0471-2382209 	20	R 	phcvellayani@gmail.com 	Thiruvananthapuram 
PHC Azhoor 	Azhoor 	Primary Health Centre	0470-2144366 	0	R 	moicphcazhoor@gmail.com 	Thiruvananthapuram 
PHC Parasuvaikkal 	Parasuvaikkal 	Primary Health Centre	0471-2200071 	0	R 	phcparasuvaikkall@gmail.com 	Thiruvananthapuram 
PHC Nagaroor 	Nagaroor 	Primary Health Centre	0470-2678656 	0	R 	phcnagaroor@gmail.com 	Thiruvananthapuram 
PHC Malayadi 	Malayadi 	Primary Health Centre	0472-2891800 	0	R 	phcmalayadi1@gmail.com 	Thiruvananthapuram 
PHC Thalavur 	Thalavur 	Primary Health Centre	0475-2328424 	0	R 	thalavoorphcmo@yahoo.com 	Kollam 
PHC Pattazhy Vadakkekara 	Pattazhy Vadakkekara 	Primary Health Centre	0475-2355441 	0	R 	phcpattazhivadakkekara@gmail.com 	Kollam 
PHC Pattazhy 	Pattazhy 	Primary Health Centre	0475-2397799 	6	R 	phcpattazhi@gmail.com 	Kollam 
PHC Adichnaloor 	Adichnaloor 	Primary Health Centre	0474-2596800 	0	R 	phcadichanalloor@gmail.com 	Kollam 
PHC Achencovil 	Achencovil 	Primary Health Centre	Nil 	0	R 	phcachenkovil@gmail.com 	Kollam 
PHC Yeroor 	Yeroor 	Primary Health Centre	0475-2202166 	0	R 	yeroorphc@gmail.com 	Kollam 
PHC Poruvazhy 	Poruvazhy 	Primary Health Centre	0476-2082486 	0	R 	phcporuvazhy@gmail.com 	Kollam 
PHC Mylam 	Mylam 	Primary Health Centre	0474-2663232 	0	R 	phcmylom@gmail.com 	Kollam 
PHC Kottanmkara 	Kottanmkara 	Primary Health Centre	0474-2710545 	0	R 	kottamkaranew@gmail.com 	Kollam 
PHC Chirakkara 	Chirakkara 	Primary Health Centre	0474-2518686 	0	R 	phcchirakkara@gmail.com 	Kollam 
PHC Chavara 	Chavara 	Primary Health Centre	0476-2686882 	0	R 	phcchavara@gmail.com 	Kollam 
PHC Kumil 	Kumil 	Primary Health Centre	0474-2448880 	0	R 	phckummil@gmail.com 	Kollam 
PHC Thottappuzhassery 	Thottappuzhassery 	Primary Health Centre	0469-2671950 	0	R 	thottapuzhasseryphc@gmail.com 	Pathanamthitta 
PHC Vallicodu 	Vallicodu 	Primary Health Centre	0468-2356338 	24	R 	phcvallikode@gmail.com 	Pathanamthitta 
PHC Malayalapuzha 	Malayalapuzha 	Primary Health Centre	0468-2301100 	0	R 	phcmalayalapuzha@gmail.com 	Pathanamthitta 
PHC Pramadam 	Pramadam 	Primary Health Centre	0468-2306524 	0	R 	phcpramadom@gmail.com 	Pathanamthitta 
PHC Pandalam Thekkekara 	Pandalam Thekkekara 	Primary Health Centre	04734-223617 	0	R 	phcpandalamthekku@gmail.com 	Pathanamthitta 
PHC Mallapuzhassery 	Mallapuzhassery 	Primary Health Centre	0468-2214598 	0	R 	phcmalla@gmail.com 	Pathanamthitta 
PHC Manjanikara 	Manjanikara 	Primary Health Centre	0468-2356375 	0	R 	manjanikkaraphc@gmail.com 	Pathanamthitta 
PHC Kadapra 	Kadapra 	Primary Health Centre	0479-2316400 	0	R 	phckadapra@gmail.com 	Pathanamthitta 
PHC Nedumpuram 	Nedumpuram 	Primary Health Centre	0469-2642640 	0	R 	phcnedumpuram@yahoo.com 	Pathanamthitta 
PHC Kuttapuzha 	Kuttapuzha 	Primary Health Centre	0469-2633047 	0	U 	phckuttapuzha@gmail.com 	Pathanamthitta 
PHC Ranni Angadi 	Ranni Angadi 	Primary Health Centre	04735-200750 	0	R 	phcangady@yahoo.com 	Pathanamthitta 
PHC Angamoozhi 	Angamoozhi 	Primary Health Centre	04735-279277 	0	R 	angamoozhyphc@gmail.com 	Pathanamthitta 
PHC Nilakkal 	Nilakkal 	Primary Health Centre	04735-205202 	0	R 	nilakkalphc@gmail.com 	Pathanamthitta 
PHC Mannancherry 	Mannancherry 	Primary Health Centre	0477-2292008 	0	R 	phcmannancherry@yahoo.com 	Alappuzha 
PHC Kodamthuruth 	Kodamthuruth 	Primary Health Centre	0478-2565944 	0	R 	mokodamthuruthphc@gmail.com 	Alappuzha 
PHC Cheppad 	Cheppad 	Primary Health Centre	0479-2400911 	0	R 	arogyakendramcheppad@gmail.com 	Alappuzha 
PHC Muttar 	Muttar 	Primary Health Centre	0477-2707732 	0	R 	muttarphc@gmail.com 	Alappuzha 
PHC Budhanoor 	Budhanoor 	Primary Health Centre	0479-2323841 	0	R 	phcbudhanor@gmail.com 	Alappuzha 
PHC Kumarapuram 	Kumarapuram 	Primary Health Centre	0479-2415215 	0	R 	kumaraphc@gmail.com 	Alappuzha 
PHC Haripad 	Haripad 	Primary Health Centre	0479-2404641 	24	R 	moharipadphc@gmail.com 	Alappuzha 
PHC Pallipad 	Pallipad 	Primary Health Centre	0479-2409096 	0	R 	mophcpallipad@gmail.com 	Alappuzha 
PHC Karoor 	Karoor 	Primary Health Centre	04822-262893 	0	R 	phckaroor@gmail.com 	Kottayam 
PHC Kozhuvanal 	Kozhuvanal 	Primary Health Centre	04822-269367 	0	R 	phckozhuvanal@gmail.com 	Kottayam 
PHC TV Puram 	TV Puram 	Primary Health Centre	04829-211789 	0	R 	mophctvpuram@gmail.com 	Kottayam 
PHC Nedumkunnam 	Nedumkunnam 	Primary Health Centre	0481-2417534 	0	R 	phcndm@gmail.com 	Kottayam 
PHC G .V. Raja Poonjar 	G .V. Raja Poonjar 	Primary Health Centre	04822-273638 	0	R 	gvrpoonjar@live.in 	Kottayam 
PHC Thalanadu 	Thalanadu 	Primary Health Centre	04822-280598 	0	R 	phcthalanadu@gmail.com 	Kottayam 
PHC Thidanadu 	Thidanadu 	Primary Health Centre	04828-236888 	0	R 	mophcthidanadu@gmail.com 	Kottayam 
PHC Thalappalam 	Thalappalam 	Primary Health Centre	04822-239345 	0	R 	phcthalappalam@gmail.com 	Kottayam 
PHC Teekoy 	Teekoy 	Primary Health Centre	04822-281502 	0	R 	mophcteekoy@gmail.com 	Kottayam 
PHC Kalaketty 	Kalaketty 	Primary Health Centre	04828-236616 	0	R 	phckalaketti@gmail.com 	Kottayam 
PHC Karikkattoor 	Karikkattoor 	Primary Health Centre	04828-246560 	0	R 	phckarikkattoor@gmail.com 	Kottayam 
PHC Parathanam 	Parathanam 	Primary Health Centre	04828-287020 	0	R 	mophcparathanam@gmail.com 	Kottayam 
PHC Peruva 	Peruva 	Primary Health Centre	04829-253030 	0	R 	phcperuva@rediffmail.com 	Kottayam 
PHC Kaduthuruthy 	Kaduthuruthy 	Primary Health Centre	04829-288393 	0	R 	phckaduthuruthy@gmail.com 	Kottayam 
PHC Vazhappally 	Vazhappally 	Primary Health Centre	0481-2726531 	0	R 	mophcvazhapally@yahoo.in 	Kottayam 
PHC Manarcadu 	Manarcadu 	Primary Health Centre	0481-2371288 	0	R 	phcmanarcadu@gmail.com 	Kottayam 
PHC Kallarvattayar 	Kallarvattayar 	Primary Health Centre	04864-278718 	0	R 	phckallar@gmail.com 	Idukki
PHC Mankulam 	Mankulam 	Primary Health Centre	04864-218906 	0	R 	mankulamphc@yahoo.in 	Idukki
PHC KP Colony 	KP Colony 	Primary Health Centre	04868-221504 	26	R 	phckallar@gmail.com 	Idukki
PHC Manakkadu 	Manakkadu 	Primary Health Centre	04862-202009 	0	R 	phcmanakad@gmail.com 	Idukki
PHC Chakkupallam 	Chakkupallam 	Primary Health Centre	04868-284670 	0	R 	phcchakkupallam@gmail.com 	Idukki
PHC Edavetty 	Edavetty 	Primary Health Centre	04862-221076 	0	R 	phcedavetty@gmail.com 	Idukki
PHC Poomala 	Poomala 	Primary Health Centre	04862-282500 	0	R 	phcpoomala@gmail.com 	Idukki
PHC Poochapra 	Poochapra 	Primary Health Centre	04862-283028 	0	R 	phcpoochapra@gmail.com 	Idukki
PHC Palace Disp.Thrippunithura 	Palace Disp.Thrippunithura 	Primary Health Centre	0484-2784845 	0	U 	rvpdmekkara@gmail.com 	Ernakulam 
PHC Vallarpadam 	Vallarpadam 	Primary Health Centre	0484-2751025 	0	R 	phcvallarpadam@gmail.com 	Ernakulam 
PHC Puthuvype 	Puthuvype 	Primary Health Centre	0484-2502838 	0	R 	phcputhuvyppu@gmail.com 	Ernakulam 
PHC Trikkakkara 	Trikkakkara 	Primary Health Centre	0484-2421417 	0	U 	phcthrikkakara@gmail.com 	Ernakulam 
PHC Kalamassery 	Kalamassery 	Primary Health Centre	0484 2966695 	0	U 	kalamasseryphc@gmail.com 	Ernakulam 
PHC Chottanikkara 	Chottanikkara 	Primary Health Centre	0484-2711389 	0	R 	phcchottanikkara@gmail.com 	Ernakulam 
PHC Thottoor 	Thottoor 	Primary Health Centre	0484-2748190 	0	R 	phcthottoor@gmail.com 	Ernakulam 
PHC Valanthakkadu 	Valanthakkadu 	Primary Health Centre	9447871977	0	U 	phcvalanthakad@gmail.com 	Ernakulam 
PHC Assamanoor 	Assamanoor 	Primary Health Centre	0484-2659451 	0	R 	phcasamannoor@gmail.com 	Ernakulam 
PHC Pallissery 	Pallissery 	Primary Health Centre	0484-2439272 	0	R 	phcpalissery@gmail.com 	Ernakulam 
PHC Mookkannoor 	Mookkannoor 	Primary Health Centre	0484-2614420 	0	R 	phcmookanur@gmail.com 	Ernakulam 
PHC Ayavana 	Ayavana 	Primary Health Centre	0485-2282044 	0	R 	phcayavana@gmail.com 	Ernakulam 
PHC Marady 	Marady 	Primary Health Centre	0485-2963805 	0	R 	phcmarady@gmail.com 	Ernakulam 
PHC Kunnukara 	Kunnukara 	Primary Health Centre	0484-2573087 	0	R 	phckunnukara@gmail.com 	Ernakulam 
PHC Nedumbassery 	Nedumbassery 	Primary Health Centre	0484-2476678 	0	R 	phcnedumbassery@gmail.com 	Ernakulam 
PHC Pattimattom 	Pattimattom 	Primary Health Centre	0484-2716010 	0	R 	phcpattimattom@gmail.com 	Ernakulam 
PHC Poothrikka 	Poothrikka 	Primary Health Centre	0484-2766118 	0	R 	phcpoothrikka@gmail.com 	Ernakulam 
PHC Maneed 	Maneed 	Primary Health Centre	0485-2267230 	24	R 	phcmaneed@gmail.com 	Ernakulam 
PHC Kanjoor 	Kanjoor 	Primary Health Centre	0484-2466110 	0	R 	phckanjoor@gmail.com 	Ernakulam 
PHC Kadungalloor 	Kadungalloor 	Primary Health Centre	0484-2605349 	0	R 	phckadungallur@gmail.com 	Ernakulam 
PHC R.V Puram 	R.V Puram 	Primary Health Centre	0487-2331030 	0	U 	gdramavarmapuram@gmail.com 	Thrissur 
PHC Porathissery 	Porathissery 	Primary Health Centre	0480-2823936 	0	U 	phcporathissery@gmail.com 	Thrissur 
PHC Choondal 	Choondal 	Primary Health Centre	04885-242225 	0	R 	choondalphc@gmail.com 	Thrissur 
PHC Kandanasserry 	Kandanasserry 	Primary Health Centre	04885-230435 	0	R 	kandanasseryphc@gmail.comp 	Thrissur 
PHC Mathilakam 	Mathilakam 	Primary Health Centre	0480-2641250 	0	R 	phcmathilakam@gmail.com 	Thrissur 
PHC Ollukkara 	Ollukkara 	Primary Health Centre	0487-2372010 	0	U 	phcollukkara@gmail.com 	Thrissur 
PHC Avanoor 	Avanoor 	Primary Health Centre	0487-2200310 	0	R 	phcavanoor@gmail.com 	Thrissur 
PHC Koorkkanchery 	Koorkkanchery 	Primary Health Centre	0487-2448256 	0	U 	phckoorkanchery@yahoo.com,phckoorkanchery @gmail.com 	Thrissur 
PHC Avinisserry 	Avinisserry 	Primary Health Centre	0487-2346898 	0	R 	phcavinisery@gmail.com 	Thrissur 
PHC Mundathikodu 	Mundathikodu 	Primary Health Centre	04885-267090 	0	U 	mundathikodephc@gmail.com 	Thrissur 
PHC Pavaratty 	Pavaratty 	Primary Health Centre	0487-2642684 	0	R 	mopavaratty@gmail.com 	Thrissur 
PHC Mupliyam 	Mupliyam 	Primary Health Centre	0480-2781846 	0	R 	phcmupliyam@gmail.com 	Thrissur 
PHC Alagappanagar 	Alagappanagar 	Primary Health Centre	0480-2755124 	0	R 	alagappanagarphc@gmail.com 	Thrissur 
PHC Melamuri 	Melamuri 	Primary Health Centre	0491-2541880 	0	U 	phcmelamuri@gmail.com 	Palakkad
PHC Thachampara 	Thachampara 	Primary Health Centre	04924-256400 	0	R 	phcthachampara@gmail.com 	Palakkad
PHC Thachanattukara 	Thachanattukara 	Primary Health Centre	04924-262244 	0	R 	phctkra@yahoo.in 	Palakkad
PHC Lakkidi 	Lakkidi 	Primary Health Centre	0466-2231189 	20	R 	phclakkidi@gmail.com 	Palakkad
PHC Ananganadi 	Ananganadi 	Primary Health Centre	0466-2242400 	10	R 	phcananganadi@yahoo.in 	Palakkad
PHC Nagalassery 	Nagalassery 	Primary Health Centre	04662-370687 	0	R 	phcnagalassery@gmail.com 	Palakkad
PHC Thirumittakode 	Thirumittakode 	Primary Health Centre	0466-2259794 	0	R 	phcthirumittacode@gmail.com 	Palakkad
PHC Kottappuram 	Kottappuram 	Primary Health Centre	0466-2366121 	8	R 	phckottappuram@gmail.com 	Palakkad
